embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,DP_Lower,DP_Upper,LCA_F1,LCA_F1_Lower,LCA_F1_Upper,TED
Qwen/Qwen3-Embedding-0.6B,Raw,DC,350,0.22150446806493698,0.9961315582583161,0.21736453806417133,0.284746344994022,0.29509575147592915,0.0,0.9366562486670356,0.33660225064928434,0.0,0.8867899883183066,1128
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,5,0.4472499928650899,0.22196421040574382,-0.0014248028423038662,0.01627176029227363,0.49272976569668675,0.0,1.0,0.41130534329478396,0.0,0.8685145971719114,1246
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,13,0.29013440668970636,0.12947044520922388,0.0031405220856456934,0.026173460376238654,0.39341301241879956,0.0,1.0,0.3449852296803519,0.0,0.8622007869507242,1246
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,38,0.158866739570629,0.14260995728920983,0.0009684455022052967,0.03202187252350243,0.29559705991018337,0.0,1.0,0.25229604893945784,0.0,0.7891857455267131,1246
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,120,0.11754602562575164,0.7072098104654452,0.02250902741017455,0.3018047165663017,0.31730525228441214,0.0,1.0,0.29987894933162584,0.0,0.961247407791336,1246
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,350,0.15962962963194266,0.973944856048497,0.08034065432412234,0.3878597595351749,0.43418465375919574,0.0,1.0,0.4255056852561572,0.0,1.0,1246
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,5,0.7275913951241101,0.8883948483254975,0.6573879656756204,0.691519330011234,0.754986143702458,0.16517998396626388,1.0,0.5761788266700073,0.0906414830804525,1.0,1052
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,13,0.5343685542400497,0.9175843151955654,0.4889456096008011,0.6778457536843033,0.6028808524038909,0.0,1.0,0.48266681393463456,0.0,0.9859937004031967,1052
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,38,0.4218253131047359,0.9656300492362908,0.4033019957039317,0.6395049117852767,0.4377624402301459,0.0,1.0,0.3726507630835598,0.0,0.8591656608883789,1052
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,120,0.35833725360905627,0.9879156752591544,0.35003174890338706,0.5234002747592171,0.4028690411467471,0.0,1.0,0.35313850640081634,0.0,0.9033509184968097,1052
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,350,0.26938140241825037,0.9954824792043054,0.2548622820245578,0.36753175972623475,0.31134517206756673,0.0,0.9631425711085362,0.37228986645439,0.0,0.9620759163983553,1052
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,5,0.5521271544337993,0.7959965359310379,0.4194131777839521,0.47623808270373735,0.6746694210541877,0.0,1.0,0.49070503212044286,0.0,1.0,1088
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,13,0.5225426701976156,0.9193527952919207,0.47845592466228654,0.6278982619412276,0.54432359032979,0.0,1.0,0.397718664140446,0.0,0.8968658577499415,1088
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,38,0.3011812009786526,0.9586897627737543,0.2794279366156284,0.5248440450800634,0.33822804579411886,0.0,0.9755931099943633,0.2844051487623259,0.0,0.7154295643292973,1088
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,120,0.2543341572956083,0.9867459445575415,0.24717492772809002,0.40456914098518126,0.2666296942883647,0.0,0.8887823198675667,0.24417470413390505,0.0,0.6860799554738296,1088
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,350,0.14620861733108537,0.9960083373683836,0.14363234162801441,0.19149109949757906,0.2234387656178489,0.0,0.7815722575647337,0.27248249453845186,0.0,0.7859775978984022,1088
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,5,0.5537580110425538,0.5600372092377486,0.2397660272671691,0.45337977674471797,0.7525112631954539,0.19129019564168692,1.0,0.558681312639758,0.09713972624525152,1.0,1224
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,13,0.4393253811247131,0.7616196431453607,0.27165144299256005,0.5210832732219963,0.5216751767283422,0.0,1.0,0.4349213750778658,0.0,0.8834064090884807,1224
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,38,0.30165361427682236,0.8421661885349037,0.16908191653386562,0.535822140144429,0.40792350382007597,0.0,1.0,0.34484932224099857,0.0,0.8388574869208526,1224
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,120,0.2776809886196947,0.9571902860286602,0.18977749240711853,0.5622267101685803,0.3921462065661241,0.0,1.0,0.3555404901992482,0.0,0.9332737007953094,1224
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,350,0.21453812978910122,0.9901648903767956,0.16210167577487966,0.37399487349866484,0.30345829382987677,0.0,0.9394035418562064,0.34678317354822796,0.0,0.9445118729775573,1224
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,5,0.8878348394541087,0.9535561375283972,0.8585496937800734,0.8321954598087707,0.8832143290593647,0.4568329477175994,1.0,0.6867439685798804,0.1574308531146449,1.0,1044
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,13,0.6382572542078189,0.9378914649575408,0.6042854018581606,0.7268467138404615,0.6950615085718687,0.14684656895753723,1.0,0.5554209067371007,0.0725858625904579,1.0,1044
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,38,0.4431822756770994,0.9647900645781594,0.4221970651724994,0.6578447299108047,0.4794008899625272,0.0,1.0,0.4375187005096621,0.0,0.9245309872828902,1044
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,120,0.4163178332793513,0.98977960815757,0.41068860623463815,0.5662152232745686,0.44595908078397795,0.0,1.0,0.4123900394101148,0.0,1.0,1044
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,350,0.38097606286874447,0.996844851015531,0.3745739309628451,0.46227510942623845,0.45839163512523234,0.0,1.0,0.4819050694812271,0.0,1.0,1044
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,5,0.6200779371819117,0.8038670533372902,0.48464428895985795,0.6186234599078583,0.7259423609074893,0.10891567629967969,1.0,0.5387676468124339,0.028801670689539982,1.0,1108
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,13,0.5197328475370444,0.9146547819250574,0.4726421621663039,0.6510278844802682,0.5669728630780885,0.0,1.0,0.4429724931596828,0.0,0.9038247118574478,1108
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,38,0.42925278830787705,0.9652655930829693,0.4099051640153563,0.6324244835574054,0.4436548662319367,0.0,1.0,0.38893990486559826,0.0,0.9002957472961278,1108
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,120,0.32327929817890855,0.9880406316545789,0.31673873638450684,0.4862211568293805,0.35028217942642426,0.0,1.0,0.34443182344168627,0.0,0.8821430339772256,1108
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,350,0.2386406613890611,0.9963103153239928,0.23507642910738566,0.30272836337910974,0.3063912563932279,0.0,0.9562773894719576,0.35240325117873283,0.0,0.9269028427227607,1108
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,5,0.5580537414854905,0.6782841404301624,0.32376753140555115,0.5495782088673626,0.7365485323990109,0.13827519503349173,1.0,0.5748333787141326,0.13387364996401702,1.0,1180
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,13,0.4644271623188179,0.81060255015177,0.3259930799131862,0.6008645773337198,0.5872727541338901,0.0,1.0,0.4984197310570396,0.01986185983189348,0.9769776022821857,1180
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,38,0.35122851234692404,0.9109564197215902,0.25936014508060373,0.6158436666591068,0.4679750280286206,0.0,1.0,0.4125597868047656,0.0,0.9375028454897294,1180
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,120,0.36192341306233433,0.9816990945867848,0.32497795202754914,0.5825638619313946,0.4243072711089417,0.0,1.0,0.40646460074419893,0.0,1.0,1180
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,350,0.31182682272814677,0.9945123316342734,0.2775118643540322,0.45285508364602195,0.4134455686129365,0.0,1.0,0.4402512186461881,0.0,1.0,1180
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,5,0.6661334741462434,0.8524455875640619,0.5707501436161183,0.6473810914101138,0.6941613235389282,0.09366918134652691,1.0,0.504358727272027,0.0,1.0,980
Qwen/Qwen3-Embedding-0.6B,tSNE,Agglomerative,13,0.37714260591569776,0.8704063339008437,0.30174781712068516,0.49796344705560436,0.4222472278633509,0.0,0.890435900957811,0.3510531094539756,0.0,0.7704486295667103,980
