embedding_model,reduction_method,reduction_params,cluster_method,cluster_params,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.01}",Agglomerative,{},72,0.2160187998998397,0.9159952505110597,0.13879022900233132,0.4376572471264772,0.45969998088818476,0.44448401683611427
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.01}",HDBSCAN,{},58,0.29011270628532976,0.8746763288572257,0.2210640853626344,0.4652366242317224,0.37908322436544606,0.370489988378504
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.01}",HDBSCAN,{},72,0.2867011025478294,0.8960522933421469,0.22892251119037701,0.44248371415905974,0.44219117231210464,0.413056645330956
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.1}",Agglomerative,{},58,0.2768279469871789,0.920092704801309,0.1947642217921019,0.48496185509805234,0.4589769965858601,0.42146597217858606
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.1}",Agglomerative,{},72,0.22146902386283213,0.9167705107332738,0.14156320639458045,0.44171435416913907,0.479855428048691,0.4347110500906864
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.1}",HDBSCAN,{},58,0.31699397961198705,0.8782702720347316,0.24967994484660716,0.4693578422946841,0.3769952140126654,0.36082424531288393
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.1}",HDBSCAN,{},72,0.2600766351561648,0.8754662782204922,0.1920783416603388,0.4236500473834241,0.3988139379913732,0.4335698285599187
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.5}",Agglomerative,{},58,0.2544390043087418,0.918679283006704,0.1744732960435161,0.4712519837558443,0.4563414809613438,0.42848560793007723
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.5}",Agglomerative,{},72,0.20732483088518977,0.9159054835379612,0.1300030229626031,0.4293725947335218,0.47971126956594673,0.4384395467569069
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.5}",HDBSCAN,{},58,0.3102928088741679,0.8391457448414593,0.21492717548193266,0.4491147679723667,0.324796211878767,0.33551419737210436
